,Review,Sentimen
53,ini pertama kalinya saya tidak menerima barang pesanan saya secara lengkap sayangnya saya tidak melakukan video unboxing,Negatif
54,beli tgl mei chat admin katanya tgl bisa dikirim tp sampai sudah mau batal otomatis baru dikirim sampe di rmh tgl malem pdhal mau dibawa ke luar kota tgl mei krn melihat status ga dikirim akhirnya beli sama reseller di jakarta kecewa baru pertama kali pesan di official store tp pelayanan buruk dan pengiriman lama barang yg dikirim sesuai hanya tdk ada box atau bubble wrap kalo yg butuh cepat tolong pertimbangkan utk beli di official store,Negatif
55,udahlah prosesnya lama bgt yg dikirim gk lengkap juga bilang dong kalo brgnya kosong gk bisa kasih review krn saya gak terima barang ini,Negatif
56,saya kira membeli dari toko official bisa dapat pengemasan lebih baik saya terima kondisi kotak kemasan prpduk terbuka dan saya tanya chat penjual tdk direspond dg cepat tidak ada isi yg tumpah cm berharap kotak kemasan dr azarine bs lebih baik lg saya bs krm video unboxing,Negatif
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif
58,pelayanannya jelek bgt,Negatif
59,exp panjang thx,Negatif
60,dapet tekstur sudah keras dan menggumpal,Negatif
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif
63,botol semprotnya suka ngawur arahnya,Netral
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral
65,udah sering pake ini isinya banyak dan bahannya ga neko fkus melembabkan,Positif
66,tekstur ringan pengiriman cepat,Positif
67,respon toko nya cepet dan ramah belum dicoba mudah mudahan cocok,Positif
68,sdh langganan sll beli disini,Positif
69,tutup pumpnya gak bisa berfungsi tp ok gentle bgt washnya,Positif
70,fw enak sih dipake nya terus byk busa nya jd pake sedikit aja tuh udah bisa full semuka ampe ke leher cocok bgt buat kulitku yang sensitif,Positif
71,material bagus packaging aman ga bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terimakasih ya,Positif
72,bagus pasti ro,Positif
73,baguus bagus cocok,Positif
74,dapet bonus,Positif
75,dikasi free gift jg keren,Positif
76,sebenernya aku suka banget produknya meresapnya cepat banget ke kulit ga lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku emang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,Positif
77,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif
78,warna nya kuning entah karena apa,Netral
79,abis pake ini besokannya langsung muncul banyak jerawat kecil,Negatif
80,isinya berantakan,Negatif
81,bikin aku jerawatan,Negatif
82,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin krn tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masi efektif kandungannya,Negatif
83,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh,Negatif
84,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,Negatif
85,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu,Netral
86,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,Negatif
87,bener jadi geprek gak pake bubble wrap sama sekali hancur semua,Negatif
88,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yg baik dan cepat,Positif
89,fast response on time delivery,Positif
90,blm coba semoga cocok,Positif
91,tipe kulitku berminyak masalah kulitku pori besar,Netral
92,semoga cocok  makasih bonusnya,Positif
93,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karna pengiriman dipindahtangankan sama kurir pertama kecewa saya pdhal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya trimakasih,Negatif
94,engga cocok mukaku tambah jerawat parah,Negatif
95,hadiahnya bohongan,Negatif
96,bohong,Negatif
97,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif
98,okeee,Positif
99,tipe kulitku kering tipe kulitku normal,Netral
100,pertama kali nyobain dgn warna kulit saya yg cenderung agak gelap awalnya saya pikir bakal jomplang pas dipake tp ternyata blend bgt ma kulit warnanya jd agak lbh cerah tp bukan jd tone up jg teksturnya ky foundy cair cpt nyerap awalnya ky mate pas udah kering tp lama jd glow up,Positif
101,kynya udah botol ke apa gt secocok itu dikulit saya yg normal cenderung kering enaknya krn ga ada white cast ato tone up jd ga berasa cemong dikulit saya yg putih,Positif
102,botol kedua enak dikulit gampang menyerap ga ada masalah ke kulitnya mantap,Positif
103,produk tp beda isi cairannya cs ditanya ga membantu bertele tele,Negatif
104,kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif
105,terpaksa kasi penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,Negatif
106,baru coba semoga cocok recommended seller,Positif
107,pertama kali nyoba tinted sunscreen mudahan cocok dan gak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebel mantappp,Positif
108,pesan barang paket lengkap yg dtg hanya paket,Positif
109,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online gak tahu real or chat bot bikin insecure,Negatif
110,lemot responnya,Negatif
111,wtf pas buka tutupnya ternyata yg keputer malah ke tempat moisturizernya langsung tumpah setengah,Negatif
112,isi tidak sesuai,Negatif
113,thanks,Positif
114,well received thanks,Positif
115,barang sampai dengan aman cuma di aku agak ke abuan dikit tp masih bisa ditoleransi thx ya,Positif
116,produknya biasa saja tapi yg paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,Negatif
117,katanya check out jam dapet lm taunya engga boohong banget buat yang mau check out jangan percaya ya,Negatif
118,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terimakasih alasan saya beli di toko ini adalah karna harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampe rb kecewa udh ganti produk eye care lain makasih saya beli tetapi dibatalkan sama somethinc jahat bgt pesannya pake usaha juga kalau tidak beli eye game changer ini di sini mau beli dmn lagi di stockist harganya beda rb rb makasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bs beli banyak makasih,Negatif
119,it  beautiful package bintang buat safety nya,Positif
120,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif
121,top,Positif
122,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif
123,exp,Positif
124,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral
125,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif
126,barang sesuai pesanan,Positif
127,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,Positif
128,moga cocok soalnya dulu cocok bgt pake ini,Positif
129,pengiriman cepat mantabbb,Netral
130,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif
131,bahannya gampang menyerap,Netral
132,bagussss,Netral
133,baguusssssss,Netral
134,okelahhhhhhhh,Negatif
135,dapat gratis mini pouch makasih semoga cocok,Netral
136,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,Negatif
137,cocok sama produknya,Positif
138,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif
139,barang nya oke,Positif
140,repeat order,Netral
141,masalah kulitku pori besar,Negatif
142,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,Negatif
143,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,Netral
144,kecepatan pengiriman baik ada bubble warp,Netral
145,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
146,dpt harga ceban yay blm dicoba,Netral
147,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral
148,ternyata dapet ya baru pertama kali semoga cocok,Netral
149,mudahan cocok terima kasih,Positif
150,udh sering beli ini dan selalu cocok,Netral
151,barang datang dengan selamat walau agak lama datangnya,Netral
152,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif
153,terima kasih,Netral
154,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral
155,tipe kulitku kombinasi masalah kulitku jerawat,Netral
156,tipe kulitku kombinasi,Netral
157,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral
158,bahannya ringan cocok digunakan,Positif
159,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral
160,barang datang sesuai packing nya aman serta pengiriman cepat,Netral
161,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral
162,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral
163,warnanya cantik bangettt,Netral
164,cocok di tipe kulitku kombinasi,Netral
165,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral
166,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral
167,cocok di kulit berminyak kemasannya lucu,Netral
168,bahannya ringan cepet meresap terus packaging nya ok banget,Netral
169,terima kasih banyak paket sudah sampai dengan selamat,Netral
170,barang bagus sesuai packing mantap terima kasih,Netral
171,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral
172,produk sangat bangus langsung menyerap dan membuat lembab,Netral
173,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral
174,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
175,baru pertama kali beli skin game mudah mudahan cocok,Negatif
176,akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Netral
177,baguss semoga cocok,Netral
178,baru mau dicoba semoga cocok,Positif
179,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
180,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
181,baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Netral
182,dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
183,barang sampai dgn selamat packagingnya jg aman semoga cocok,Positif
184,baru pertama kali coba semoga cocok thank you seller,Positif
185,barang sampai dgn selamat,Negatif
186,packing rapi dan aman barang sesuai pesenan,Netral
187,this moisturizer is seriously  game changer  love how one bottle could last me months,Netral
188,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral
189,mantap sesuaiii semoga cocok,Netral
190,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif
191,makasiihh,Positif
192,makasih,Netral
193,makasiihh tp tumben ga ada gift nya,Netral
194,tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral
195,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral
196,bagus,Positif
197,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif
198,cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif
199,lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
200,barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif
201,bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif
202,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral
203,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral
204,exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif
205,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif
206,belum dicoba smg cocok,Netral
207,paket aman semoga cocok,Positif
208,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
209,kiriman cepat packing bagus,Positif
210,sesuai dengan deskripsi,Positif
211,ingredients nya bikin penasaran jd pengen cobain sejauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif
212,pengirimannya lama bgt tolong diganti kurirny,Negatif
213,pengemasan okeyy semoga cocok,Positif
214,ok semoga cocok,Netral
215,bintang karena pertamanya dikirimin yg expired sedangkan pembelian harga normal sebelum beli sudah chat tanya perbedaan harga normal dan sale sale expired dan normal expired walaupun akhirnya bisa return dan ganti yg expired tp proses return nya itu ribet bgt terutama pihak expedisi sicepat yg tdk segera pick up sampai hari maksudnya kalau dr awal teliti saya ga perlu buang waktu untuk ngurusin return nya semoga kedepannya makin teliti yaa untuk packing sudah aman bagus admin juga responsive thank you,Negatif
216,packing aman dan expired masih lama,Positif
217,huhu serum nya udah dateng cepet banget pengiriman beli dapet harga diskon baru pertama pakai ini semoga cocok di muka ku tipe kulitku normal,Positif
218,tipe kulitku sensitif,Netral
219,ini kenapa paket saya di lempar sama kurir ya ud jelas jelas ada tulisan fragile di dusnya,Negatif
220,barang sudah sampai baru pertama kali mencoba semoga cocok,Netral
221,serum terbaik buat memperbaiki skin barier yg rusak pake serum ini sejak dan hasilnya jerawatku ga pernah muncul lagi dan kulitku jd ga pernah rewel lagi please jangan sampe ga produksi lagi serum ini karena udah jd pk kulit aku,Positif
222,mencari alternatif ingredients yang bisa menyamarkan bekas jerawat aku karena ga cocok sama vit  niacin dan alpha arbutin,Netral
223,dulu udh pernah make dan ngefek bgt ke kulit bikin jd lembab dan gak beruntusan tp dibarengin sm refining tonernya jg,Positif
224,pesan tanggal dikirim tanggal padahal tgl sdh harus dibawa terbang kecewa karena sdh dua kali mendapatkan pelayanan yg kurang menyenangkan padahal produk bagus dan sdh menjadi pengguna tetap avoskin,Negatif
225,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,Negatif
226,pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,Negatif
227,paket diterima dengan keadaan baik,Positif
228,baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,Netral
229,fast respon,Positif
230,niceeeee,Positif
231,worth the price pcs dapat harga  cashback ,Netral
232,thx ya,Positif
233,packing aman banget semoga cocok,Positif
234,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif
235,repurchased nda bikin kusam affordable,Netral
236,isinya dikit banget sampe bingung kirain ga ada isinya,Negatif
237,ringan di kulit warna pas,Netral
238,cepet nyampenyaa ringan sesuai namanya tinted sunscreen tapi masih bisa buat nutupin kemerahan aku sebelumnya nyoba shade nina tapi malah jadi kusem dan kuning akhirnya nyoba shade butter dan pass,Netral
239,cepet nyampenyaa teksturnya agak creamy smugeproof juga lohh tp warnanya agak kurang pigment,Negatif
240,teksturnya ringan mudah menyerap kulit udh ada spf nya jd kl dipake daily pun ok wlwpn ga full coverage tp bisa menutupi warna tdk merata dimuka bakalan repurchase ini,Negatif
241,pengiriman cepat packing oke thanks,Netral
242,suka sm warnanya next order warna lain,Netral
243,tipe kulitku berminyak alhamdulillah cocok thanks,Netral
244,beli serum ini pas dapet harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya belum dicoba jadi belum bisa kasi nilai,Positif
245,jujur buat aku gak cocok tapi aku gapaham skincare dan cenderung asal beli cuma sepertinya ini works deh kalo emanh cocok tipe kulitnya feel dimukanya setelah dipake agak lengket menurut aku jadi gabisa tidur miring trus bukan tipe skincare yang kalo kena angin adem mukanya cuma yaudah salahku,Negatif
246,hasil akhir bagus kaya kulit kita tapi bersi yg sehat,Negatif
