,Review,Review_norm
37,packing ya parah facial foam ya berantakan kalo ga dikasih bubble wrap setidak ya tutup facial wash ya diisolasi supaya ga berantakan,packing ya parah facial foam ya berantakan kalo enggak dikasih bubble wrap setidak ya tutup facial wash ya diisolasi supaya enggak berantakan
38,kecewa sekali baru pakai serum acne sekali langsung tumbuh jerawat,kecewa sekali baru pakai serum acne sekali langsung tumbuh jerawat
39,pesenan yg dikirim,pesanan yang dikirim
40,muka gue jadi beruntusan dan respon penjual tetap lama kecewa banget gue,muka gue jadi beruntusan dan respon penjual tetap lama kecewa banget gue
41,pengiriman lama barang tidak tersedia pembeli disuruh nunggu dibatalin gk boleh,pengiriman lama barang tidak tersedia pembeli disuruh menunggu dibatalin enggak boleh
42,barang tidak sampai,barang tidak sampai
43,beli yang sunscreen mist yg dikirim  yg gel ini sudah ajuin complain di tokped riwayat complain hilang gatau kemana,beli yang sunscreen mist yang dikirim  yang gel ini sudah ajuin complain di tokped riwayat complain hilang enggak tau kemana
44,pesanan lama datang pesan tgl datang tgl padahal dalam kabupaten,pesanan lama datang pesan tanggal datang tanggal padahal dalam kabupaten
45,pengiriman sangat lambat sekali,pengiriman sangat lambat sekali
46,belum pakai terima sudah bocor tanya bagaimana tidak answer juga,belum pakai terima sudah bocor tanya bagaimana tidak answer juga
47,toko slow respon gak teliti sama sekali liat barang malas kalo ngga langsung liat chat komplain saya saya bakal jelek jelekin nih toko ke semua sosmed,toko slow respon enggak teliti sama sekali lihat barang malas kalo enggak langsung lihat chat komplain saya saya bakal jelek menjelekkan nih toko ke semua sosmed
48,sy review jujur ya mslh respon penjual kurang sama sekali sy minta bantuan toped  baru direspon pengiriman sangat lambat sekali sy order lapak lain dng hr yg sama sdh dtg semua ini mlh msh diproses mslh paket kurang baik hanya kardus seadanya nanti sy video kan lalu kemasan produk terbilang spt asal an penutup plastiknya tdk rapi sama sekali dus produk tdk rapi lalu botol nya produk terbuat dr plastik ini review dr saya dan sy tdk puas,saya review jujur ya masalah respon penjual kurang sama sekali saya meminta bantuan toped  baru direspon pengiriman sangat lambat sekali saya order lapak lain dengan hari yang sama sudah datang semua ini malah masih diproses masalah paket kurang baik hanya kardus seadanya nanti saya video kan lalu kemasan produk terbilang seperti asal an penutup plastiknya tidak rapi sama sekali dus produk tidak rapi lalu botol nya produk terbuat dari plastik ini review dari saya dan saya tidak puas
49,memang pearl horizon seperti ini ya tidak sesuai gambar buluk banget baru sekali ini belanja azarine dpt kualitas brg jlk,memang pearl horizon seperti ini ya tidak sesuai gambar buluk banget baru sekali ini belanja azarine dapat kualitas barang jlk
50,sangat kecewa limited editionnya hanha cream siang aja,sangat kecewa limited editionnya hanha cream siang saja
51,cream siangnya juga ngga cocok gatal dan beruntusan muka ku perih sayang bgt baru dipakai kali masih tersisa banyak nih creamnya,cream siangnya juga enggak cocok gatal dan beruntusan muka ku perih sayang banget baru dipakai kali masih tersisa banyak nih creamnya
52,ekspektasi sdh tinggi sdh dipakai tapi ternyata pas aku coba kulit ku gatal dan beruntusan diaku ngga cocok seperti nya sayang bgt nih padahal baru dipakai sekali aja jadi masih utuh banyak bgt,ekspektasi sudah tinggi sudah dipakai tapi ternyata pas aku coba kulit ku gatal dan beruntusan diaku enggak cocok seperti nya sayang banget nih padahal baru dipakai sekali saja jadi masih utuh banyak banget
53,beli blackhead remover mask tapi kenapa yg satu nya tinggal setengah kertas nya pun tinggal dikit juga sangat kecewa saya,beli blackhead remover mask tapi kenapa yang satu nya tinggal setengah kertas nya pun tinggal dikit juga sangat kecewa saya
54,parah ngaretnya pesan tgl estimasi datang tanggal  baru sampai tgl sore,parah ngaretnya pesan tanggal estimasi datang tanggal  baru sampai tanggal sore
55,barang kami terima pecah sayangnya saya tidak bisa upload video unboxingnya,barang kami terima pecah sayangnya saya tidak bisa upload video unboxingnya
56,sdikit ky dah dpkai,sedikit kaya deh dpkai
57,saya pesan kamis jam pagi status order sudah dikonfirmasi tokopedia namun blm di terima oleh seller status tersebut tetap sama pada jumat sore saya memutuskan untuk tidak jadi beli dan mengajukan batal saya juga chat seller stelah ajukan batal untuk dibantu pembatalan saya rasa ajuan saya ini harusnya diterima karena seller blm menerima order saya status terakhir msh diterima tokopedia namun sabtu pagi yg terjadi ajuan batal saya di tolak dan seller pencet accept order saya mempertanyakan berulang kali mengapa ditolak seller berdalih karena sudah diproses padahal saya ajukan batal saat blm di proses berulang kali saya kasih rincian kapan saya ajukan batal dan kapan mreka proses tapi mereka tetap merasa mereka yg benar sampai pada akhirnya seller bilang kalau blm di konfirmasi seller pasti ajuan batal akan diterima setelah ucapan ini keluar saya tanya lagi lalu apa yang membuat seller menolak ajuan batal ketika saya ajukan sebelum konfirmasi seller tetapi seller berdalih sekarang barangnya sufah dikirim jadi tidak bisa batal saya juga tau itu saya mempertanyakan hal ini dari sebelum seller kirim berulang kali saya pertanyakan apa alasan seller menolak pengajuan batal di hari jumat padahal seller terima order baru sabtu semua ada history chat nya dan ada history rinciannya kapan tokopedia verifikasi pembayaran saya kapan saya ajukan batal dan kapan seller menolak pembatalan dan malah memproses order saya sangat kecewa dengan pelayanan toko ini saya chat dari kalimat baik sampe sudah tidak bisa ditahan lagi emosi saya karena seller tidak bisa menjawab pertanyaan saya alasan seller menolak pengajuan batal yg saya ajukan hari jumat sebelum seller terima orderan hari sabtu,saya pesan kamis jam pagi status order sudah dikonfirmasi tokopedia namun belum di terima oleh seller status tersebut tetap sama pada jumat sore saya memutuskan untuk tidak jadi beli dan mengajukan batal saya juga chat seller setelah ajukan batal untuk dibantu pembatalan saya rasa ajuan saya ini harusnya diterima karena seller belum menerima order saya status terakhir masih diterima tokopedia namun sabtu pagi yang terjadi ajuan batal saya di tolak dan seller pencet accept order saya mempertanyakan berulang kali mengapa ditolak seller berdalih karena sudah diproses padahal saya ajukan batal saat belum di proses berulang kali saya kasih rincian kapan saya ajukan batal dan kapan mereka proses tapi mereka tetap merasa mereka yang benar sampai pada akhirnya seller bilang kalau belum di konfirmasi seller pasti ajuan batal akan diterima setelah ucapan ini keluar saya tanya lagi lalu apa yang membuat seller menolak ajuan batal ketika saya ajukan sebelum konfirmasi seller tetapi seller berdalih sekarang barangnya sufah dikirim jadi tidak bisa batal saya juga tau itu saya mempertanyakan hal ini dari sebelum seller kirim berulang kali saya pertanyakan apa alasan seller menolak pengajuan batal di hari jumat padahal seller terima order baru sabtu semua ada history chat nya dan ada history rinciannya kapan tokopedia verifikasi pembayaran saya kapan saya ajukan batal dan kapan seller menolak pembatalan dan malah memproses order saya sangat kecewa dengan pelayanan toko ini saya chat dari kalimat baik sampai sudah tidak bisa ditahan lagi emosi saya karena seller tidak bisa menjawab pertanyaan saya alasan seller menolak pengajuan batal yang saya ajukan hari jumat sebelum seller terima orderan hari sabtu
58,salah kirim sunscreen bukannya yang joasa spf malah dikirim yg vit  padahal saya udah beli terpisah untuk sunscreen vit  nya masih pembelian pertama untuk coba coba dari pada saya balikin udah rugi biaya pengiriman balik lama banget pula di kirimnya lagi toko terlama dalam pengiriman menurut saya,salah kirim sunscreen bukannya yang joasa spf malah dikirim yang vit  padahal saya sudah beli terpisah untuk sunscreen vit  nya masih pembelian pertama untuk coba coba dari pada saya balikin sudah rugi biaya pengiriman balik lama banget pula di kirimnya lagi toko terlama dalam pengiriman menurut saya
59,saya pemakai suncreen azarine yg hyrosoothe dan cocok makanya cobain yg mist ini tapi ternyata dipakai dikulit terasa agak panas ya dan semprotannya itu ga rata gitu ke muka kita,saya pemakai suncreen azarine yang hyrosoothe dan cocok makanya mencoba yang mist ini tapi ternyata dipakai dikulit terasa agak panas ya dan semprotannya itu enggak rata begitu ke muka kita
60,barang tidak lengkap,barang tidak lengkap
61,cuma terima produk harusnya paket isi essence mist sy komplain minta komplainnya dicabut dulu sudah sy cabut krn percaya ternyata ini hampir minggu tidak dikirim cs nya pelayanan buruk chat yg jawab sistem dan lambat tidak ada permintaan maaf yg baik tolong benahi pelayanan dan sgera kirim nanti sy perbaiki bintangnya,cuma terima produk harusnya paket isi essence mist saya komplain meminta komplainnya dicabut dulu sudah saya cabut karena percaya ternyata ini hampir minggu tidak dikirim customer service nya pelayanan buruk chat yang jawab sistem dan lambat tidak ada permintaan maaf yang baik tolong benahi pelayanan dan sgera kirim nanti saya perbaiki bintangnya
62,katanya macam dalam satu paket yg datang cuma gimana ya,katanya macam dalam satu paket yang datang cuma bagaimana ya
63,udah kecewa dari beli hair serum jadinya lotion,sudah kecewa dari beli hair serum jadinya lotion
64,pesen hair serum yang dateng lotion dong,pesan hair serum yang datang lotion dong
65,packing lama banget padahal pengiriman dr sda ke sby order tgl sampe sby tanggal bilangnya lgsg diproses nyatanya tdk sesuai,packing lama banget padahal pengiriman dari sda ke surabaya order tanggal sampai surabaya tanggal bilangnya langsung diproses nyatanya tidak sesuai
66,aku mesen dari tanggal desember baru sampai kemarin dimohon setidaknya kalau ada kendala dijawab chat nya di tanya penjual,aku mesen dari tanggal desember baru sampai kemarin dimohon setidaknya kalau ada kendala dijawab chat nya di tanya penjual
67,aq pesen nigh cream malah nyampenya serum deuh,aku pesan nigh cream malah sampainya serum deuh
68,no review found,no review found
69,engga ngefek cuma lengketin tangan doang,enggak ngefek cuma lengketin tangan doang
70,pesan yg datang cuma komplain dikirim ulang yang datang cuma dah lah malas,pesan yang datang cuma komplain dikirim ulang yang datang cuma deh lah malas
71,sedih banget saya mau produknya bukan uang saya yg dibalikin kenapa gaada usaha kasih barangnya sih kenapa lgsg balikin uangnya lebih baik nunggu kurang dari seminggu tp barangnya ada drpd lgsg dibalikin uangnya,sedih banget saya mau produknya bukan uang saya yang dibalikin kenapa enggak ada usaha kasih barangnya sih kenapa langsung balikin uangnya lebih baik menunggu kurang dari seminggu tapi barangnya ada daripada langsung dibalikin uangnya
72,ga cocok di muka kalo make serum azarine acne malah muncul jerawat kecewa si tapi harga ribu ml murah doang tapi kualitas bukan nomor,enggak cocok di muka kalo memakai serum azarine acne malah muncul jerawat kecewa sih tapi harga ribu ml murah doang tapi kualitas bukan nomor
73,pelayanan sangat lama sekali,pelayanan sangat lama sekali
74,barangnya sih masih aman tapi udah gedeg banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya udah ada tulisan fragile sebelumnya aku udah complaint di review tapi gak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur,barangnya sih masih aman tapi sudah gedek banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya sudah ada tulisan fragile sebelumnya aku sudah complaint di review tapi enggak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur
75,barangnya sih masih aman tapi udah gedeg banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya udah ada tulisan fragile plus ini barangnya gak dibalut bubble wrap atau apa kek biar aman sebelumnya aku udah complaint di review tapi gak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur,barangnya sih masih aman tapi sudah gedek banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya sudah ada tulisan fragile plus ini barangnya enggak dibalut bubble wrap atau apa kayak biar aman sebelumnya aku sudah complaint di review tapi enggak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur
76,barangnya sih masih aman tapi udah gedeg banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya udah ada tulisan fragile terus di dalamnya gak dibalut bubble wrap ini rentan banget sebelumnya aku udah complaint di review tapi gak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur,barangnya sih masih aman tapi sudah gedek banget sama ekspedisinya langsung main lempar masuk pagar tanpa manggil atau nelpon padahal di kemasannya sudah ada tulisan fragile terus di dalamnya enggak dibalut bubble wrap ini rentan banget sebelumnya aku sudah complaint di review tapi enggak ditanggapi karena aku kasih bintang lima ini aku kasih bintang satu tolong azarine ekpedisinya diregur
77,barang tidak ada,barang tidak ada
78,pelayanan lemot bgt di proses masa hari blm di kirim estimasi dtg tgl datangnya tgl malam,pelayanan lemot banget di proses masa hari belum di kirim estimasi datang tanggal datangnya tanggal malam
79,bikin makin meradang murah sih tapi ga cocok,bikin makin meradang murah sih tapi enggak cocok
80,diki bgt dih ga sesuai,diki banget dih enggak sesuai
81,pengiriman lama,pengiriman lama
82,barang yg di kirim tidak sesuai dengan pesanan pesannya  white night cream yg di kirim malah serum  white emang baru kali ini terima barang tidak sesuai pesanan biasanya selalu sesuai tapi tetap saya kecewa krna saya lg butuh night cream kebetulan sudah habis night creamnya udah lama nungguin udah dtng malah salah lain kali lebih teliti lagi pelayanan nya biar gak kecewa customer saya udah cocok pakai produk azarine klo udah salah sprti ini jadinya males dan takut buat pesan lagi,barang yang di kirim tidak sesuai dengan pesanan pesannya  white night cream yang di kirim malah serum  white memang baru kali ini terima barang tidak sesuai pesanan biasanya selalu sesuai tapi tetap saya kecewa karena saya lagi butuh night cream kebetulan sudah habis night creamnya sudah lama menunggu sudah dtng malah salah lain kali lebih teliti lagi pelayanan nya biar enggak kecewa customer saya sudah cocok pakai produk azarine kalo sudah salah seperti ini jadinya malas dan takut buat pesan lagi
83,aneh cream malem isinya cuma doang dipencet ga keluar sedangkan day creamnya mah full gausah diteken bgt udh keluar udh komplen jawabannya malah ga memuaskan,aneh cream malam isinya cuma doang dipencet enggak keluar sedangkan day creamnya mah full enggak usah diteken banget sudah keluar sudah komplen jawabannya malah enggak memuaskan
84,packing cuma bubble wrap penyok parah lupa unboxing lain kali harus inbox biar gak seenaknya kalau packing bener kecewa sama azarine udah laris pelayanan asal asalan,packing cuma bubble wrap penyok parah lupa unboxing lain kali harus inbox biar enggak seenaknya kalau packing benar kecewa sama azarine sudah laris pelayanan asal asalan
85,kecewa mentang beli produk packing asalan cuma bubblewrap sekelas official kalah sama seller amatiran,kecewa mentang beli produk packing asalan cuma bubblewrap sekelas official kalah sama seller amatiran
86,pengemasan lama banget dateng penyok packing cuma bubble wrap polosan gaada sticker fragile apapun wajib video unboxing lain kali karena kalau gaada gamau tanggung jawab penjualnya walaupun barang rusak so far official store paling buruk yg pernah dibeli mulai dari pengemasan lelet packing gak niat purna jualnya juga ngaco semoga berbenah ya kamu sayang banget kalau udah rame tapi gak diikuti kualitas pelayanan offstorenya shame on you azarine,pengemasan lama banget datang penyok packing cuma bubble wrap polosan enggak ada sticker fragile apapun wajib video unboxing lain kali karena kalau enggak ada enggak mau tanggung jawab penjualnya walaupun barang rusak so far official store paling buruk yang pernah dibeli mulai dari pengemasan lelet packing enggak niat purna jualnya juga mengaco semoga berbenah ya kamu sayang banget kalau sudah rame tapi enggak diikuti kualitas pelayanan offstorenya shame on you azarine
87,gmn ya aneh ga kaya biasanya pengiriman nya lama sampe seminggu pdhl udah langganan dr dulu terus lubangnya ga dikasih segel kaya udah dipake malah pao cuma bulan jadi gatau ini bisa dipakenya sampe kapan meskipun exp date masih lama maaf saya cuma review jujur tanpa ada niat buruk apapun,bagaimana ya aneh enggak kayak biasanya pengiriman nya lama sampai seminggu padahal sudah langganan dari dulu terus lubangnya enggak dikasih segel kayak sudah dipakai malah pao cuma bulan jadi enggak tau ini bisa dipakai sampai kapan meskipun exp date masih lama maaf saya cuma review jujur tanpa ada niat buruk apapun
88,cashback tidak berikan sudah jelas saya input promo cashback tokonya,cashback tidak berikan sudah jelas saya input promo cashback tokonya
89,barangnya sih bagus cuman pelayanannya lelet banget pembelian kedua kirain bakal lebih cepat ternyata sama saja mending cari  distributor lain saja,barangnya sih bagus cuman pelayanannya lelet banget pembelian kedua mengira bakal lebih cepat ternyata sama saja mending cari  distributor lain saja
90,cream nya gak bagus setah pake minggu muka saya malah makin hitam jauh beda sebelom saya pake cream ini muka saya tidak sehitam ini setelah pake cream ini malah tambah hitam,cream nya enggak bagus setah pakai minggu muka saya malah makin hitam jauh beda sebelom saya pakai cream ini muka saya tidak sehitam ini setelah pakai cream ini malah tambah hitam
91,ya di kirim hanya dus kosong,ya di kirim hanya dus kosong
92,lain kali kalo tidak punya produk jangan ikutan flash sale bohongin konsumen aja,lain kali kalo tidak punya produk jangan ikutan flash sale bohongin konsumen saja
93,barang ini tidak dikirim saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yg kedua dong karena saya sudah merasa dapet flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo gitu buat apa ngasih opsi gitu ngga guna,barang ini tidak dikirim saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yang kedua dong karena saya sudah merasa dapat flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo begitu buat apa mengasih opsi begitu enggak guna
94,barang ini dikirim tapi yg serum apricot tidak saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yg kedua dong karena saya sudah merasa dapet flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo gitu buat apa ngasih opsi gitu ngga guna,barang ini dikirim tapi yang serum apricot tidak saya buat komplain lalu diberikan opsi pengembalian dana atau menunggu sampai barang ready baru dikirimkan saya pilih opsi yang kedua dong karena saya sudah merasa dapat flash sale dan sudah berebutan dengan semua orang di seluruh indonesia ini namun di keesokan harinya komplain sudah diselesaikan dan dana dibalikin perak dih kalo begitu buat apa mengasih opsi begitu enggak guna
95,palsu,palsu
96,dipacknya ngasal banget trs gaada buble wrapnya lagi cuman sunscreen langsung ke dus super ga niat jelek banget sih service packagingnya padahal ini official store lohh,dipacknya ngasal banget terus enggak ada buble wrapnya lagi cuman sunscreen langsung ke dus super enggak niat jelek banget sih service packagingnya padahal ini official store loh
