,Review,Sentimen,Review_norm
10,mantap,Positif,mantap
11,bismillah smga cocok,Positif,bismillah semoga cocok
12,kecewa banget pokoknya,Negatif,kecewa banget pokoknya
13,kecewaaaaa pengiriman lama wajah jadi breakout gatau harus gimana lagi ga ngerti,Negatif,kecewaaaaa pengiriman lama wajah jadi breakout enggak tau harus bagaimana lagi enggak mengerti
14,ok smoga cocok,Positif,ok semoga cocok
15,ok blom dcobain,Netral,ok belum dicoba
16,udah langganan karna cocok pakai serum ini thanks seller,Positif,sudah langganan karena cocok pakai serum ini thanks seller
17,serumnya bener bener cair banget ini pemakaian selama hari tapi belum berasa bangt efeknya,Netral,serumnya benar benar cair banget ini pemakaian selama hari tapi belum berasa banget efeknya
18,mantab pake banget tp perjalanan pengiriman lam bgt,Netral,mantap pakai banget tapi perjalanan pengiriman lama banget
19,belum dicoba ngabisin dlu yg laen next bakal review klo ada hasilnya,Netral,belum dicoba ngabisin dulu yang lain next bakal review kalo ada hasilnya
20,cocok bngt buat oily skin kyk aku,Positif,cocok banget buat oily skin kayak aku
21,baru sekali pake udh kerasa halus dimuka,Positif,baru sekali pakai sudah kerasa halus dimuka
22,barangnya gapernah sampe dari tanggal karna ilang kesalahan anteraja jadi gatau harus review apa,Netral,barangnya enggak pernah sampai dari tanggal karena hilang kesalahan anteraja jadi enggak tau harus review apa
23,beli ini beserta skin care yg lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget,Negatif,beli ini beserta skin care yang lain nya tapitidak pernah menerima sheet mask ini complaint lama banget dan ujung ujung nya tidak bisa ditindak lanjuti kecewa banget
24,harusnya dpt free sesuai jam ordernya udah buru cekout biar ga habis pesenan  yg dtg cuma produk nya free nya ga dapat asli kecewa dan baru ngalamin yg ginian,Negatif,harusnya dapat free sesuai jam ordernya sudah buru cekout biar enggak habis pesanan  yang datang cuma produk nya free nya enggak dapat asli kecewa dan baru ngalamin yang beginian
25,melembabkan banget teksturnya kental tp cepet banget nyerepnya,Netral,melembabkan banget teksturnya kental tapi cepat banget nyerepnya
26,packaging nya jelek banget ini sih kyk nya ad oknum yg mau ngambil barangnya kardusnya di buka di bagian samping yg ga di segel tolong next nya packing lbh baik lagi,Negatif,packaging nya jelek banget ini sih kayak nya ada oknum yang mau ngambil barangnya kardusnya di buka di bagian samping yang enggak di segel tolong next nya packing lebih baik lagi
27,tertipu tidak ada gratis hadiah sarung seperti di gambar,Negatif,tertipu tidak ada gratis hadiah sarung seperti di gambar
28,dijanjikan expired th tapi dapetnyabulan,Negatif,dijanjikan expired tahu tapi dapetnyabulan
29,pesen masker yang dikirim my bad ga di video unboxing nya tapi kecewa banget bisa lalai bgt team packing nya please kerja yg fokus dan bener biar customer ga dirugikan begini ga semua orang sempet bikin video unboxing begitu so sorry kasih bintang karna beneran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesen disini sesibuk apapun sempetin video unboxing,Negatif,pesan masker yang dikirim my bad enggak di video unboxing nya tapi kecewa banget bisa lalai banget team packing nya please kerja yang fokus dan benar biar customer enggak dirugikan begini enggak semua orang sempat bikin video unboxing begitu so sorry kasih bintang karena benaran kecewa buat customer yang lain kalo baca ini please be more careful ya kalo pesan disini sesibuk apapun sempetin video unboxing
30,bahan ringan smg cocok,Positif,bahan ringan semoga cocok
31,tipe kulitku berminyak,Netral,tipe kulitku berminyak
32,ringan bgt dibibir lup lup dh bwt azarine,Netral,ringan banget dibibir lup lup dah buat azarine
33,no review found,Netral,no review found
34,kali ini paket white series yg dtng cmn harusnya udh komplain tpi ngga direspon samsek pantes didalam paket ada kertas cara ngajuin komplain trnyata emng ga beres isinya,Negatif,kali ini paket white series yang dtng cuman harusnya sudah komplain tapi enggak direspon sama sekali pantas didalam paket ada kertas cara mengajukan komplain ternyata memang enggak beres isinya
35,tidak sampai barang nya,Negatif,tidak sampai barang nya
36,bikin bruntusan yg geleuh muka jadi keliatan dan kerasa kotor bgt ewh udh pake sunscreen dan toner yg soft light gitu no deh bener kata org ini buat kulit sensitif dan kering jangan pake akhirnya buat tangan dan area tubuh yg gelap aja deh,Negatif,bikin bruntusan yang geleuh muka jadi kelihatan dan kerasa kotor banget ewh sudah pakai sunscreen dan toner yang soft light begitu no deh benar kata orang ini buat kulit sensitif dan kering jangan pakai akhirnya buat tangan dan area tubuh yang gelap saja deh
37,serumnya ga dikirim,Negatif,serumnya enggak dikirim
38,baru pertama coba dan udah dipake beberapa hari sunscreennya bagus banget cocok buat acne face kuu ga lengket sama sekali,Positif,baru pertama coba dan sudah dipakai beberapa hari sunscreennya bagus banget cocok buat acne face ku enggak lengket sama sekali
39,love banget makasih azarine tadinya beli karena dapet pc tapi ternyata emang bagus banget velvety lippie cream nyaa dan walau ga cocok warm tone ini bagus banget di akuu,Positif,love banget terima kasih azarine tadinya beli karena dapat pc tapi ternyata memang bagus banget velvety lippie cream nya dan walau enggak cocok warm tone ini bagus banget di aku
40,pertama kali coba elum tau si,Netral,pertama kali coba elum tau sih
41,realpict sukses selalu seller,Positif,realpict sukses selalu seller
42,smuaa ok cuma ky nya kulitku yg ga cocok sm sunscreennya ngerasa lengket bgt makenya so sorry,Netral,semua ok cuma kaya nya kulitku yang enggak cocok sama sunscreennya merasa lengket banget makenya so sorry
43,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat,Positif,baru pertama coba semoga cocok pengemasan cepat dan aman pengiriman cepat
44,saya pesen dua paket twin pack dan lg yg ini harusanya saya terima produk tp saya hanya terima saya tidak sempat melakukan video unboxing jd td bisa klaim mohon untuk setelahnya lbh berhati dan memperhatikan produk yg akan dikirim apa sudah sesuai dgn pesanan atau blm,Negatif,saya pesan dua paket twin pack dan lagi yang ini harusanya saya terima produk tapi saya hanya terima saya tidak sempat melakukan video unboxing jadi tadi bisa klaim mohon untuk setelahnya lebih berhati dan memperhatikan produk yang akan dikirim apa sudah sesuai dengan pesanan atau belum
45,pelayanan admin nya jelek,Negatif,pelayanan admin nya jelek
46,agak kesel ya aku udah nunggu barangnya dan yang dateng salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesen alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kaya gini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya ga bisa dilampirkan pula ada tulisan ada gangguan di rumah toped gatau deh serah di cek aja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda,Negatif,agak kesel ya aku sudah menunggu barangnya dan yang datang salah dong produknya mana di bungkusnya sesuai sama produk yang aku pesan alhasil aku buka tanpa di video tolong banget kalau semisal packing di cek dulu jangan salah kirim kayak begini selain rugi di harga aku juga jadi kehilangan kepercayaan sama ini toko mana lama juga mana ini fotonya enggak bisa dilampirkan pula ada tulisan ada gangguan di rumah toped enggak tau deh serah di cek saja di data gudang seharusnya data pembelian dan produk yang ada di gudang jumlahnya beda
47,barang yang dikirim cuman harusnya karena saya beli twin pack,Negatif,barang yang dikirim cuman harusnya karena saya beli twin pack
48,saya sudah pake harian di wajah saya jadi berminyak merah dan jadi beruntusan,Negatif,saya sudah pakai harian di wajah saya jadi berminyak merah dan jadi beruntusan
49,sesuai deskripsi,Positif,sesuai deskripsi
50,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
51,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif,agak kecewa sama pengemasannya kardusnya peyok dalemnya enggak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman
52,tipe kulitku kering,Netral,tipe kulitku kering
53,cocok sama produknya,Positif,cocok sama produknya
54,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thanks
55,barang nya oke,Positif,barang nya oke
56,repeat order,Netral,repeat order
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif,tiap belanja pasti salah kalo enggak kurang barangnya ya salah barangnya ikhlasin saja semoga berkah kalo produknya cocok pelayanan nya saja kurang atau butuh karyawan
58,pelayanannya jelek bgt,Negatif,pelayanannya jelek banget
59,exp panjang thx,Negatif,exp panjang thanks
60,dapet tekstur sudah keras dan menggumpal,Negatif,dapat tekstur sudah keras dan menggumpal
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif,diterima dalam keaadan bocor seperti bekas lubang paku jadi isinya tumpah jadi aku lem biar isinya enggak tumpah baru pertama belanja disini malah kecewa padahal official store malas saja mau complain entar lama lagi prosesnya
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif,teksturnya kental banget di aku kurang ngefek sih probably enggak beli lagi
63,botol semprotnya suka ngawur arahnya,Netral,botol semprotnya suka ngawur arahnya
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral,produk bagus sering repurchase tapi suka kesel sama pumpnya isi masih banyak tapi enggak keluar di pump susah kali pump nya
65,udah sering pake ini isinya banyak dan bahannya ga neko fkus melembabkan,Positif,sudah sering pakai ini isinya banyak dan bahannya enggak neko fokus melembabkan
66,tekstur ringan pengiriman cepat,Positif,tekstur ringan pengiriman cepat
67,respon toko nya cepet dan ramah belum dicoba mudah mudahan cocok,Positif,respon toko nya cepat dan ramah belum dicoba mudah mudahan cocok
68,sdh langganan sll beli disini,Positif,sudah langganan selalu beli disini
69,tutup pumpnya gak bisa berfungsi tp ok gentle bgt washnya,Positif,tutup pumpnya enggak bisa berfungsi tapi ok gentle banget washnya
70,fw enak sih dipake nya terus byk busa nya jd pake sedikit aja tuh udah bisa full semuka ampe ke leher cocok bgt buat kulitku yang sensitif,Positif,face wash enak sih dipakai nya terus banyak busa nya jadi pakai sedikit saja tuh sudah bisa full semuka sampai ke leher cocok banget buat kulitku yang sensitif
71,material bagus packaging aman ga bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terimakasih ya,Positif,material bagus packaging aman enggak bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terima kasih ya
72,bagus pasti ro,Positif,bagus pasti ro
73,baguus bagus cocok,Positif,bagus bagus cocok
74,dapet bonus,Positif,dapat bonus
75,dikasi free gift jg keren,Positif,dikasih free gift juga keren
76,sebenernya aku suka banget produknya meresapnya cepat banget ke kulit ga lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku emang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,Positif,sebenarnya aku suka banget produknya meresapnya cepat banget ke kulit enggak lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku memang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang 
77,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif,maaf banget tapi ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget
78,warna nya kuning entah karena apa,Netral,warna nya kuning entah karena apa
79,abis pake ini besokannya langsung muncul banyak jerawat kecil,Negatif,habis pakai ini besokannya langsung muncul banyak jerawat kecil
80,isinya berantakan,Negatif,isinya berantakan
81,bikin aku jerawatan,Negatif,bikin aku jerawatan
82,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin krn tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masi efektif kandungannya,Negatif,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin karena tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masih efektif kandungannya
83,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh,Negatif,selangnya sependek apa sih sampai dia hilang kebawah wtf annoying banget pakenya bagaimana coba sudah aku cari tapi enggak ada selangnya pakai tube ajalah kalo pakai packaging kayak begini bermasalah mulu sayang banget padahal formulanya sebagus itu tapi kalo packagingnya begini sih big no deh
84,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,Negatif,ini parah banget seller dan pengiriman kurir sudah lama banget kirimnya plus waktu sampai dibuka paketnya rusak enggak jelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar
85,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu,Netral,untuk packaging suka banget dan pengeriman juga cepat cuman sorry banget kykny memang enggak cocok di aku kayak langsung jerawatan besar begitu
86,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,Negatif,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening
87,bener jadi geprek gak pake bubble wrap sama sekali hancur semua,Negatif,benar jadi geprek enggak pakai bubble wrap sama sekali hancur semua
88,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yg baik dan cepat,Positif,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yang baik dan cepat
89,fast response on time delivery,Positif,fast response on time delivery
90,blm coba semoga cocok,Positif,belum coba semoga cocok
91,tipe kulitku berminyak masalah kulitku pori besar,Netral,tipe kulitku berminyak masalah kulitku pori besar
92,semoga cocok  makasih bonusnya,Positif,semoga cocok  terima kasih bonusnya
93,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karna pengiriman dipindahtangankan sama kurir pertama kecewa saya pdhal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya trimakasih,Negatif,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karena pengiriman dipindahtangankan sama kurir pertama kecewa saya padahal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya terima kasih
94,engga cocok mukaku tambah jerawat parah,Negatif,enggak cocok mukaku tambah jerawat parah
95,hadiahnya bohongan,Negatif,hadiahnya bohongan
96,bohong,Negatif,bohong
97,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat
98,okeee,Positif,oke
99,tipe kulitku kering tipe kulitku normal,Netral,tipe kulitku kering tipe kulitku normal
100,pertama kali nyobain dgn warna kulit saya yg cenderung agak gelap awalnya saya pikir bakal jomplang pas dipake tp ternyata blend bgt ma kulit warnanya jd agak lbh cerah tp bukan jd tone up jg teksturnya ky foundy cair cpt nyerap awalnya ky mate pas udah kering tp lama jd glow up,Positif,pertama kali mencoba dengan warna kulit saya yang cenderung agak gelap awalnya saya pikir bakal jomplang pas dipakai tapi ternyata blend banget sama kulit warnanya jadi agak lebih cerah tapi bukan jadi tone up juga teksturnya kaya foundy cair cepat nyerap awalnya kaya mate pas sudah kering tapi lama jadi glow up
101,kynya udah botol ke apa gt secocok itu dikulit saya yg normal cenderung kering enaknya krn ga ada white cast ato tone up jd ga berasa cemong dikulit saya yg putih,Positif,sepertinya sudah botol ke apa begitu secocok itu dikulit saya yang normal cenderung kering enaknya karena enggak ada white cast atau tone up jadi enggak berasa cemong dikulit saya yang putih
102,botol kedua enak dikulit gampang menyerap ga ada masalah ke kulitnya mantap,Positif,botol kedua enak dikulit gampang menyerap enggak ada masalah ke kulitnya mantap
103,produk tp beda isi cairannya cs ditanya ga membantu bertele tele,Negatif,produk tapi beda isi cairannya customer service ditanya enggak membantu bertele tele
104,kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif,kecewa karena isi tidak full seperti saya beli di tempat lain
105,terpaksa kasi penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,Negatif,terpaksa kasih penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli
106,baru coba semoga cocok recommended seller,Positif,baru coba semoga cocok recommended seller
107,pertama kali nyoba tinted sunscreen mudahan cocok dan gak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebel mantappp,Positif,pertama kali mencoba tinted sunscreen mudahan cocok dan enggak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebal mantap
108,pesan barang paket lengkap yg dtg hanya paket,Positif,pesan barang paket lengkap yang datang hanya paket
109,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online gak tahu real or chat bot bikin insecure,Negatif,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online enggak tahu real orang chat bot bikin insecure
110,lemot responnya,Negatif,lemot responnya
111,wtf pas buka tutupnya ternyata yg keputer malah ke tempat moisturizernya langsung tumpah setengah,Negatif,wtf pas buka tutupnya ternyata yang keputer malah ke tempat moisturizernya langsung tumpah setengah
112,isi tidak sesuai,Negatif,isi tidak sesuai
113,thanks,Positif,thanks
114,well received thanks,Positif,well received thanks
115,barang sampai dengan aman cuma di aku agak ke abuan dikit tp masih bisa ditoleransi thx ya,Positif,barang sampai dengan aman cuma di aku agak ke abuan dikit tapi masih bisa ditoleransi thanks ya
116,produknya biasa saja tapi yg paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,Negatif,produknya biasa saja tapi yang paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal
117,katanya check out jam dapet lm taunya engga boohong banget buat yang mau check out jangan percaya ya,Negatif,katanya check out jam dapat lama taunya enggak boohong banget buat yang mau check out jangan percaya ya
118,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terimakasih alasan saya beli di toko ini adalah karna harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampe rb kecewa udh ganti produk eye care lain makasih saya beli tetapi dibatalkan sama somethinc jahat bgt pesannya pake usaha juga kalau tidak beli eye game changer ini di sini mau beli dmn lagi di stockist harganya beda rb rb makasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bs beli banyak makasih,Negatif,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terima kasih alasan saya beli di toko ini adalah karena harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampai ribu kecewa sudah ganti produk eye care lain terima kasih saya beli tetapi dibatalkan sama somethinc jahat banget pesannya pakai usaha juga kalau tidak beli eye game changer ini di sini mau beli dimana lagi di stockist harganya beda ribu ribu terima kasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bisa beli banyak terima kasih
119,kecepatan pengiriman baik ada bubble warp,Netral,kecepatan pengiriman baik ada bubble warp
120,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar
121,dpt harga ceban yay blm dicoba,Netral,dapat harga ceban yay belum dicoba
122,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral,pembelian kesekian kalinya cocok di muka apalagi kalo pas jerawatan kulitnya tetap bisa bnafas
123,ternyata dapet ya baru pertama kali semoga cocok,Netral,ternyata dapat ya baru pertama kali semoga cocok
124,mudahan cocok terima kasih,Positif,mudahan cocok terima kasih
125,udh sering beli ini dan selalu cocok,Netral,sudah sering beli ini dan selalu cocok
126,barang datang dengan selamat walau agak lama datangnya,Netral,barang datang dengan selamat walau agak lama datangnya
127,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif,packing nya bagus banget untuk cream dengan harga segitu tekstur ringan cepat meresap di kulit enggak ada bau menyengat sama sekali semoga cocok di kulit aku yang kering tapi bruntusan terima kasih
128,terima kasih,Netral,terima kasih
129,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral,bahannya ringan mudah menyerap cocok di kulit aku yang berjerawat enggak bikin breakout the best pokoknya
130,tipe kulitku kombinasi masalah kulitku jerawat,Netral,tipe kulitku kombinasi masalah kulitku jerawat
131,tipe kulitku kombinasi,Netral,tipe kulitku kombinasi
132,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral,tipe kulitku berminyak masalah kulitku pori besar original terima kasih
133,bahannya ringan cocok digunakan,Positif,bahannya ringan cocok digunakan
134,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral,tipe kulitku berminyak baru mau mencoba makai ini tapi sebelumnya mencoba punya teman cocok
135,barang datang sesuai packing nya aman serta pengiriman cepat,Netral,barang datang sesuai packing nya aman serta pengiriman cepat
136,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral,berasa cerah jika sudah pakai cuman di aku jadi bikin kering jadi mesti pakai pelembab muka lagi
137,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral,sudah beberapa tahun pakai memang cocok karena enggak white cast begitu nyaman ringan juga thanks seller tipe kulitku kombinasi
138,warnanya cantik bangettt,Netral,warnanya cantik banget
139,cocok di tipe kulitku kombinasi,Netral,cocok di tipe kulitku kombinasi
140,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral,jujur agak panik pas lihat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman enggak luber kemana mana
141,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral,jujur agak panik pas lihat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman enggak luber kemana mana baru sekali pakai produk yang ini oke banget pas dipakai ke kulit cocok suka sama packing barunya
142,cocok di kulit berminyak kemasannya lucu,Netral,cocok di kulit berminyak kemasannya lucu
143,bahannya ringan cepet meresap terus packaging nya ok banget,Netral,bahannya ringan cepat meresap terus packaging nya ok banget
144,terima kasih banyak paket sudah sampai dengan selamat,Netral,terima kasih banyak paket sudah sampai dengan selamat
145,barang bagus sesuai packing mantap terima kasih,Netral,barang bagus sesuai packing mantap terima kasih
146,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral,enggak usah ditanya lagi memang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yang enggak akan ganti lagi
147,produk sangat bangus langsung menyerap dan membuat lembab,Netral,produk sangat bangus langsung menyerap dan membuat lembab
148,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral,sudah repurchase berkali produk simple dan efektif packaging juga simple dan aman
149,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended
150,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral,baru mencoba pertama kali semoga bisa cocok karena reviewnya bagus
151,mantap sesuaiii semoga cocok,Netral,mantap sesuai semoga cocok
