,Review,Sentimen
54,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif
55,barang nya oke,Positif
56,repeat order,Netral
57,tiap belanja pasti salah klo ga kurang barangnya ya salah barangnya ikhlasin aja semoga berkah kalo produknya cocok pelayanan nya aja kurang atau butuh karyawan,Negatif
58,pelayanannya jelek bgt,Negatif
59,exp panjang thx,Negatif
60,dapet tekstur sudah keras dan menggumpal,Negatif
61,diterima dalam keaadan bocor seperti bekas lubang paku jd isinya tumpah jadi aku lem biar isinya gak tumpah baru pertama belanja disini malah kecewa padahal official store malas aja mau complain ntar lama lagi prosesnya,Negatif
62,teksturnya kental banget di aku kurang ngefek sih probably ga beli lagi,Negatif
63,botol semprotnya suka ngawur arahnya,Netral
64,produk baguss sering repurchase tapi suka kesel sama pumpnya isi masi banyak tapi gk kluar di pump susah kali pump nya,Netral
65,udah sering pake ini isinya banyak dan bahannya ga neko fkus melembabkan,Positif
66,tekstur ringan pengiriman cepat,Positif
67,respon toko nya cepet dan ramah belum dicoba mudah mudahan cocok,Positif
68,sdh langganan sll beli disini,Positif
69,tutup pumpnya gak bisa berfungsi tp ok gentle bgt washnya,Positif
70,fw enak sih dipake nya terus byk busa nya jd pake sedikit aja tuh udah bisa full semuka ampe ke leher cocok bgt buat kulitku yang sensitif,Positif
71,material bagus packaging aman ga bocor tekstur gel langsung meresap aman dari fragrance packaging pump juga hygenis semoga kulit sensitif saya cocok terimakasih ya,Positif
72,bagus pasti ro,Positif
73,baguus bagus cocok,Positif
74,dapet bonus,Positif
75,dikasi free gift jg keren,Positif
76,sebenernya aku suka banget produknya meresapnya cepat banget ke kulit ga lengket dan greasy nyaman daan kebetulan cocok karena bekas jerawatku emang jadi lebih memudar tidak hilang begitu saja dan tentunya butuh prosesnya ya bestie tapiii yang menurutku skin game harus perhatikan lagi adalah pemilihan packaging pump nya agak keras lalu produk yang keluar malah jadi loncat dan banyak terbuang entah di leher botol atau terjun bebas sedih hiks mungkin jika ada konsiderasi untuk improve pump nya aku akan kasih bintang ,Positif
77,maaf banget tp ini susah banget diratainnya dan whitecast parah bikin kulit jadi kering banget,Negatif
78,warna nya kuning entah karena apa,Netral
79,abis pake ini besokannya langsung muncul banyak jerawat kecil,Negatif
80,isinya berantakan,Negatif
81,bikin aku jerawatan,Negatif
82,produk belum dicoba pengiriman tidak menggunakan bubble wrap hanya produk dan kotak pengiriman saat dibuka botol terasa panas mungkin krn tidak di lapisi bubble wrap jadi langsung terpapar sinar matahari saat pengiriman semoga produk masi efektif kandungannya,Negatif
83,selangnya sependek apa sih sampe dia ilang kebawah wtf annoying bgt pakenya gmn coba udah aku cari tp gak ada selangnya pake tube ajalah kalo pake packaging kaya gini bermasalah mulu sayang bgt padahal formulanya sebagus itu tapi kalo packagingnya begini sihhh big no deh,Negatif
84,ini parah banget seller dan pengiriman kurir udah lama banget kirimnya plus waktu sampai dibuka paketnya rusak gajelas ini seller tidak professional dan tidak niat jualan sama sekali meskipun official store tolong hargai customer dengan dapat membungkus paket dengan baik dan benar,Negatif
85,untuk packaging suka bangettt dan pengeriman juga cepat cuman sorry bgt kykny memang ga cocok di aku kyk lgsg jerawatan besar gitu,Netral
86,warnanya kuning kiri padahal baru dibuka punya saya sudah pemakaian bulan kanan masih bening,Negatif
87,bener jadi geprek gak pake bubble wrap sama sekali hancur semua,Negatif
88,belum coba pertama kali beli semoga cocok bintang ini diberikan untuk respon admin dan pengantaran pesanan yg baik dan cepat,Positif
89,fast response on time delivery,Positif
90,blm coba semoga cocok,Positif
91,tipe kulitku berminyak masalah kulitku pori besar,Netral
92,semoga cocok  makasih bonusnya,Positif
93,barang tidak saya terima sampai sekarang kurir ditanya balesnya lama karna pengiriman dipindahtangankan sama kurir pertama kecewa saya pdhal alamat sudah sesuai dan  biasanya begini tolong kak dikomplain bagian ekspedisi pengirimannya trimakasih,Negatif
94,engga cocok mukaku tambah jerawat parah,Negatif
95,hadiahnya bohongan,Negatif
96,bohong,Negatif
97,baru mau coba semoga cocok tipe kulitku kombinasi masalah kulitku jerawat,Positif
98,okeee,Positif
99,tipe kulitku kering tipe kulitku normal,Netral
100,pertama kali nyobain dgn warna kulit saya yg cenderung agak gelap awalnya saya pikir bakal jomplang pas dipake tp ternyata blend bgt ma kulit warnanya jd agak lbh cerah tp bukan jd tone up jg teksturnya ky foundy cair cpt nyerap awalnya ky mate pas udah kering tp lama jd glow up,Positif
101,kynya udah botol ke apa gt secocok itu dikulit saya yg normal cenderung kering enaknya krn ga ada white cast ato tone up jd ga berasa cemong dikulit saya yg putih,Positif
102,botol kedua enak dikulit gampang menyerap ga ada masalah ke kulitnya mantap,Positif
103,produk tp beda isi cairannya cs ditanya ga membantu bertele tele,Negatif
104,kecewa karena isi tidak full seperti saya beli di tempat lain,Negatif
105,terpaksa kasi penilaian jelek untuk admin al el ve yang handle chat karena balasnya asal dan tidak menjawab konsultasi customer dengan baik pertanyan dan jawabannya tidak sesuai asal balas tanpa membaca permasalahan pembeli,Negatif
106,baru coba semoga cocok recommended seller,Positif
107,pertama kali nyoba tinted sunscreen mudahan cocok dan gak oksidasi sesuai klaimnya packing aman kardus ditambah bubble wrap tebel mantappp,Positif
108,pesan barang paket lengkap yg dtg hanya paket,Positif
109,lebih baik sabtu minggu tetap di proses walau kirim nya weekday padahal online gak tahu real or chat bot bikin insecure,Negatif
110,lemot responnya,Negatif
111,wtf pas buka tutupnya ternyata yg keputer malah ke tempat moisturizernya langsung tumpah setengah,Negatif
112,isi tidak sesuai,Negatif
113,thanks,Positif
114,well received thanks,Positif
115,barang sampai dengan aman cuma di aku agak ke abuan dikit tp masih bisa ditoleransi thx ya,Positif
116,produknya biasa saja tapi yg paling parah pelayanannya sangat tidak memuaskan tidak helpfull tidak customer oriented hati kalau belanja disini kesalahan sedikit saja bakal fatal,Negatif
117,katanya check out jam dapet lm taunya engga boohong banget buat yang mau check out jangan percaya ya,Negatif
118,kecewa pesanan saya dibatalkan yang lain tidak akan pernah mau beli lagi terimakasih alasan saya beli di toko ini adalah karna harga dari pusat normal sedangkan beli di reseller harga melambung jauh sampe rb kecewa udh ganti produk eye care lain makasih saya beli tetapi dibatalkan sama somethinc jahat bgt pesannya pake usaha juga kalau tidak beli eye game changer ini di sini mau beli dmn lagi di stockist harganya beda rb rb makasih belum lagi kadang pre order sungguh kecewa saya beli di official mana pun bs beli banyak makasih,Negatif
119,kecepatan pengiriman baik ada bubble warp,Netral
120,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
121,dpt harga ceban yay blm dicoba,Netral
122,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral
123,ternyata dapet ya baru pertama kali semoga cocok,Netral
124,mudahan cocok terima kasih,Positif
125,udh sering beli ini dan selalu cocok,Netral
126,barang datang dengan selamat walau agak lama datangnya,Netral
127,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif
128,terima kasih,Netral
129,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral
130,tipe kulitku kombinasi masalah kulitku jerawat,Netral
131,tipe kulitku kombinasi,Netral
132,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral
133,bahannya ringan cocok digunakan,Positif
134,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral
135,barang datang sesuai packing nya aman serta pengiriman cepat,Netral
136,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral
137,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral
138,warnanya cantik bangettt,Netral
139,cocok di tipe kulitku kombinasi,Netral
140,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral
141,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral
142,cocok di kulit berminyak kemasannya lucu,Netral
143,bahannya ringan cepet meresap terus packaging nya ok banget,Netral
144,terima kasih banyak paket sudah sampai dengan selamat,Netral
145,barang bagus sesuai packing mantap terima kasih,Netral
146,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral
147,produk sangat bangus langsung menyerap dan membuat lembab,Netral
148,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral
149,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
150,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral
151,mantap sesuaiii semoga cocok,Netral
152,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif
153,makasiihh,Positif
154,makasih,Netral
155,makasiihh tp tumben ga ada gift nya,Netral
156,tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral
157,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral
158,bagus,Positif
159,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif
160,cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif
161,lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
162,barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif
163,bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif
164,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral
165,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral
166,exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif
167,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif
168,belum dicoba smg cocok,Netral
169,paket aman semoga cocok,Positif
170,masalah kulitku pori besar,Netral
171,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
172,kiriman cepat packing bagus,Positif
173,sesuai dengan deskripsi,Positif
174,ingredients nya bikin penasaran jd pengen cobain sejauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif
175,packing aman banget semoga cocok,Positif
176,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif
177,repurchased nda bikin kusam affordable,Netral
178,baguss semoga cocok,Positif
179,baru mau dicoba semoga cocok,Positif
180,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
181,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
182,top,Positif
183,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif
184,exp,Positif
185,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral
