,Review,Sentimen
52,cocok di kulit berminyak kemasannya lucu,Netral
53,bahannya ringan cepet meresap terus packaging nya ok banget,Netral
54,terima kasih banyak paket sudah sampai dengan selamat,Netral
55,barang bagus sesuai packing mantap terima kasih,Netral
56,gausah ditanya lagi emang sebagus itu lembab dan bisa bantu pulih skin barier sejauh ini moisturizer yg gak akan ganti lagi,Netral
57,produk sangat bangus langsung menyerap dan membuat lembab,Netral
58,udah repurchase berkali produk simple dan efektif packaging jg simple dan aman,Netral
59,cocok di kulit saya tekstur ringan dan sangat cepat menyerap di kulit super recommended,Positif
60,baru pertama kali beli skin game mudah mudahan cocok,Negatif
61,akhirnyaaa menemukan moisturizer yg cocokkk moistnya ringan dan cepet menyerap aku udah make tube tube bisa dipake bulan lebih tergantung pemakaiannya,Netral
62,baguss semoga cocok,Netral
63,baru mau dicoba semoga cocok,Positif
64,produk ori dan aman kakak adminnya juga ramah banget bakal repurchase lagiii deh kayaknya,Positif
65,pengiriman dan pengemasan cepat bgt aman produk sesuai udh pernah coba dan lumayan bikin jerawat cpt mateng thankyou,Netral
66,baunya agak aneh apek dan bau besi seperti dr tempatnya saya pernah pakai sabun lain yg tanpa bau tp ga pernah spt ini jd kurang nyaman pakainya dan sampai skrg masih ada,Netral
67,dari dulu selalu jadi langganan untuk solusi kalau lagi jerawatan bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail  love you kembali serebu,Netral
68,barang sampai dgn selamat packagingnya jg aman semoga cocok,Positif
69,warna nya kuning entah karena apa,Netral
70,baru pertama kali coba semoga cocok thank you seller,Positif
71,barang sampai dgn selamat,Negatif
72,packing rapi dan aman barang sesuai pesenan,Netral
73,this moisturizer is seriously  game changer  love how one bottle could last me months,Netral
74,baeu nyoba pertama kali smoga bisa cocok krn reviewnya bagus,Netral
75,mantap sesuaiii semoga cocok,Netral
76,tadinya mau beli diofflinestore tp mahal bgt  pas cek dionline store nya cuma  karena dpt potongan sm lg flashsale langsung beli,Positif
77,makasiihh,Positif
78,makasih,Netral
79,makasiihh tp tumben ga ada gift nya,Netral
80,tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian ini terimakasih,Netral
81,stlh semingguan pke muka jd bruntusan gtw emng efek samping pemakaian ato emng ga cocok,Netral
82,bagus,Positif
83,pengirimannya cukup cepat dan barang yg dikirimkan sesuai pesanan expired datenya dan,Positif
84,cocok dikulit saya ngak kering atau ketarik pengiriman cepet mantull,Positif
85,lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif
86,barang lengkap packing aman dan rapi belum coba productnya semoga cocok tipe kulitku normal,Positif
87,bacanya review nya bagus mudahan jg cocok terima kasih bonusnya pas banget pas lagi butuh,Positif
88,cocok dikulit sebelum pakai jerawat biji di pipi agak meradang malam dikasih besoknya udh mendingan dan kempes,Netral
89,sebenarnya bagus tapi di aq jatuhnya bikin bibir agak kering walaupun sebelum pake lipstick udh pakai lipbalm warnanya pigmented bgt merah queennya bagus bgt,Netral
90,exp date msh lama pengirimannya jg cepat dapet diskonnya lumayan lagi thanks somethinc,Positif
91,semoga cocok di kulitku yg sensitif ini karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout,Positif
92,belum dicoba smg cocok,Netral
93,sesuai deskripsi,Positif
94,paket aman semoga cocok,Positif
95,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral
96,kiriman cepat packing bagus,Positif
97,sesuai dengan deskripsi,Positif
98,ingredients nya bikin penasaran jd pengen cobain sejauh ini selalu repurchase produk avo dan selalu cocok aaaa,Positif
99,pengirimannya lama bgt tolong diganti kurirny,Negatif
100,pengemasan okeyy semoga cocok,Positif
101,ok semoga cocok,Netral
102,bintang karena pertamanya dikirimin yg expired sedangkan pembelian harga normal sebelum beli sudah chat tanya perbedaan harga normal dan sale sale expired dan normal expired walaupun akhirnya bisa return dan ganti yg expired tp proses return nya itu ribet bgt terutama pihak expedisi sicepat yg tdk segera pick up sampai hari maksudnya kalau dr awal teliti saya ga perlu buang waktu untuk ngurusin return nya semoga kedepannya makin teliti yaa untuk packing sudah aman bagus admin juga responsive thank you,Negatif
103,packing aman dan expired masih lama,Positif
104,huhu serum nya udah dateng cepet banget pengiriman beli dapet harga diskon baru pertama pakai ini semoga cocok di muka ku tipe kulitku normal,Positif
105,tipe kulitku sensitif,Netral
106,ini kenapa paket saya di lempar sama kurir ya ud jelas jelas ada tulisan fragile di dusnya,Negatif
107,barang sudah sampai baru pertama kali mencoba semoga cocok,Netral
108,serum terbaik buat memperbaiki skin barier yg rusak pake serum ini sejak dan hasilnya jerawatku ga pernah muncul lagi dan kulitku jd ga pernah rewel lagi please jangan sampe ga produksi lagi serum ini karena udah jd pk kulit aku,Positif
109,mencari alternatif ingredients yang bisa menyamarkan bekas jerawat aku karena ga cocok sama vit  niacin dan alpha arbutin,Netral
110,dulu udh pernah make dan ngefek bgt ke kulit bikin jd lembab dan gak beruntusan tp dibarengin sm refining tonernya jg,Positif
111,pesan tanggal dikirim tanggal padahal tgl sdh harus dibawa terbang kecewa karena sdh dua kali mendapatkan pelayanan yg kurang menyenangkan padahal produk bagus dan sdh menjadi pengguna tetap avoskin,Negatif
112,bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman gak ada bublewrapnya padahal perjalanan jauh dari sidoarjo sampe jakarta,Negatif
113,pengirimannya pake sicepat tapi sangat lambat  udh ada  gudang tgl baru diantar ke rmh tgl sayang banget ga sesuai nama,Negatif
114,paket diterima dengan keadaan baik,Positif
115,baru pertama pakai semoga cocok yah min tipe kulitku berminyak tipe kulitku kombinasi,Netral
116,fast respon,Positif
117,niceeeee,Positif
118,worth the price pcs dapat harga  cashback ,Netral
119,thx ya,Positif
120,agak kecewa sm pengemasannya kardusnya peyok dalemnya gak ada bubble wrap biasanya ada bubble wrap nya untung paketnya aman,Negatif
121,packing aman banget semoga cocok,Positif
122,alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi dgn azarine thanks azarine,Positif
123,repurchased nda bikin kusam affordable,Netral
124,isinya dikit banget sampe bingung kirain ga ada isinya,Negatif
125,ringan di kulit warna pas,Netral
126,cepet nyampenyaa ringan sesuai namanya tinted sunscreen tapi masih bisa buat nutupin kemerahan aku sebelumnya nyoba shade nina tapi malah jadi kusem dan kuning akhirnya nyoba shade butter dan pass,Netral
127,cepet nyampenyaa teksturnya agak creamy smugeproof juga lohh tp warnanya agak kurang pigment,Negatif
128,teksturnya ringan mudah menyerap kulit udh ada spf nya jd kl dipake daily pun ok wlwpn ga full coverage tp bisa menutupi warna tdk merata dimuka bakalan repurchase ini,Negatif
129,pengiriman cepat packing oke thanks,Netral
130,suka sm warnanya next order warna lain,Netral
131,tipe kulitku berminyak alhamdulillah cocok thanks,Netral
132,beli serum ini pas dapet harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya belum dicoba jadi belum bisa kasi nilai,Positif
133,jujur buat aku gak cocok tapi aku gapaham skincare dan cenderung asal beli cuma sepertinya ini works deh kalo emanh cocok tipe kulitnya feel dimukanya setelah dipake agak lengket menurut aku jadi gabisa tidur miring trus bukan tipe skincare yang kalo kena angin adem mukanya cuma yaudah salahku,Negatif
134,hasil akhir bagus kaya kulit kita tapi bersi yg sehat,Negatif
