,Review,Review_norm,review_tokens,review_tokens_SR
31,paket diterima dg baik dan pengiriman cepat banget packagingnya bagus banget aman jg produk cocok dg kulit istri saya senang banget dia thanks,paket diterima dengan baik dan pengiriman cepat banget packagingnya bagus banget aman juga produk cocok dengan kulit istri saya senang banget dia thanks,"['paket', 'diterima', 'dengan', 'baik', 'dan', 'pengiriman', 'cepat', 'banget', 'packagingnya', 'bagus', 'banget', 'aman', 'juga', 'produk', 'cocok', 'dengan', 'kulit', 'istri', 'saya', 'senang', 'banget', 'dia', 'thanks']","['paket', 'diterima', 'baik', 'pengiriman', 'cepat', 'banget', 'packagingnya', 'bagus', 'banget', 'aman', 'produk', 'cocok', 'kulit', 'istri', 'senang', 'banget', 'thanks']"
32,tipe kulitku berminyak pengiriman cepat produk baik sesuai deskripsi makasih seller,tipe kulitku berminyak pengiriman cepat produk baik sesuai deskripsi terima kasih seller,"['tipe', 'kulitku', 'berminyak', 'pengiriman', 'cepat', 'produk', 'baik', 'sesuai', 'deskripsi', 'terima', 'kasih', 'seller']","['tipe', 'kulitku', 'berminyak', 'pengiriman', 'cepat', 'produk', 'baik', 'sesuai', 'deskripsi', 'terima', 'kasih', 'seller']"
33,barang sudah sampai dan sesuai semoga cocok di akuu thanks sellerrr tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,barang sudah sampai dan sesuai semoga cocok di aku thanks seller tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,"['barang', 'sudah', 'sampai', 'dan', 'sesuai', 'semoga', 'cocok', 'di', 'aku', 'thanks', 'seller', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']","['barang', 'sesuai', 'semoga', 'cocok', 'aku', 'thanks', 'seller', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar']"
34,tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku kerutan,tipe kulitku kombinasi masalah kulitku pori besar masalah kulitku kerutan,"['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'kerutan']","['tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'kerutan']"
35,seneng banget dapet harga promo terus padahal ditulisannya gak ada bonus gift dikasih gift eyelashes curler dong huhu thank you somethinc,senang banget dapat harga promo terus padahal ditulisannya enggak ada bonus gift dikasih gift eyelashes curler dong huhu thank you somethinc,"['senang', 'banget', 'dapat', 'harga', 'promo', 'terus', 'padahal', 'ditulisannya', 'enggak', 'ada', 'bonus', 'gift', 'dikasih', 'gift', 'eyelashes', 'curler', 'dong', 'huhu', 'thank', 'you', 'somethinc']","['senang', 'banget', 'harga', 'promo', 'terus', 'padahal', 'ditulisannya', 'enggak', 'bonus', 'gift', 'dikasih', 'gift', 'eyelashes', 'curler', 'dong', 'huhu', 'thank', 'you', 'somethinc']"
36,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif']"
37,terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']"
38,perfect shade,perfect shade,"['perfect', 'shade']","['perfect', 'shade']"
39,terbaik favorite,terbaik favorite,"['terbaik', 'favorite']","['terbaik', 'favorite']"
40,bagus banget baru seminggu pakai bacne ku mulai hilang ada purgingnya dia kek bikin bacne mateng dulu gitu abis itu baru ilang tapi dikit banget isinya baru seminggu habis mungkin karena pakenya terlalu banyak kali ya,bagus banget baru seminggu pakai bacne ku mulai hilang ada purgingnya dia kayak bikin bacne mateng dulu begitu habis itu baru hilang tapi dikit banget isinya baru seminggu habis mungkin karena pakenya terlalu banyak kali ya,"['bagus', 'banget', 'baru', 'seminggu', 'pakai', 'bacne', 'ku', 'mulai', 'hilang', 'ada', 'purgingnya', 'dia', 'kayak', 'bikin', 'bacne', 'mateng', 'dulu', 'begitu', 'habis', 'itu', 'baru', 'hilang', 'tapi', 'dikit', 'banget', 'isinya', 'baru', 'seminggu', 'habis', 'mungkin', 'karena', 'pakenya', 'terlalu', 'banyak', 'kali', 'ya']","['bagus', 'banget', 'baru', 'seminggu', 'pakai', 'bacne', 'ku', 'mulai', 'hilang', 'purgingnya', 'kayak', 'bikin', 'bacne', 'mateng', 'dulu', 'habis', 'baru', 'hilang', 'dikit', 'banget', 'isinya', 'baru', 'seminggu', 'habis', 'mungkin', 'pakenya', 'terlalu', 'banyak', 'kali']"
41,nice,nice,['nice'],['nice']
42,tipe kulitku kombinasi biasanya beli jar baru baru nyobain ver refilnya aku cocok bgt dulu kulitku pernah kering sampe luka yg jadi hitam ketarik kulitnya pake ini seminggu bener sembuh dan bekasnya pudar,tipe kulitku kombinasi biasanya beli jar baru baru mencoba ver refilnya aku cocok banget dulu kulitku pernah kering sampai luka yang jadi hitam tertarik kulitnya pakai ini seminggu benar sembuh dan bekasnya pudar,"['tipe', 'kulitku', 'kombinasi', 'biasanya', 'beli', 'jar', 'baru', 'baru', 'mencoba', 'ver', 'refilnya', 'aku', 'cocok', 'banget', 'dulu', 'kulitku', 'pernah', 'kering', 'sampai', 'luka', 'yang', 'jadi', 'hitam', 'tertarik', 'kulitnya', 'pakai', 'ini', 'seminggu', 'benar', 'sembuh', 'dan', 'bekasnya', 'pudar']","['tipe', 'kulitku', 'kombinasi', 'biasanya', 'beli', 'jar', 'baru', 'baru', 'mencoba', 'ver', 'refilnya', 'aku', 'cocok', 'banget', 'dulu', 'kulitku', 'pernah', 'kering', 'luka', 'jadi', 'hitam', 'tertarik', 'kulitnya', 'pakai', 'seminggu', 'benar', 'sembuh', 'bekasnya', 'pudar']"
43,seneng banget dapet harga rb,senang banget dapat harga ribu,"['senang', 'banget', 'dapat', 'harga', 'ribu']","['senang', 'banget', 'harga', 'ribu']"
44,tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif cocok dengan cleansing dari somethinc keren tq,tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif cocok dengan cleansing dari somethinc keren terima kasih,"['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'cocok', 'dengan', 'cleansing', 'dari', 'somethinc', 'keren', 'terima', 'kasih']","['tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'cocok', 'cleansing', 'somethinc', 'keren', 'terima', 'kasih']"
45,tipe kulitku berminyak,tipe kulitku berminyak,"['tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'berminyak']"
46,barang sampai dengan selamat tapi udah  beli disini gak pernah dapet bonus jadi yg pada dapet bonus tu bener gak ya,barang sampai dengan selamat tapi sudah  beli disini enggak pernah dapat bonus jadi yang pada dapat bonus itu benar enggak ya,"['barang', 'sampai', 'dengan', 'selamat', 'tapi', 'sudah', 'beli', 'disini', 'enggak', 'pernah', 'dapat', 'bonus', 'jadi', 'yang', 'pada', 'dapat', 'bonus', 'itu', 'benar', 'enggak', 'ya']","['barang', 'selamat', 'beli', 'disini', 'enggak', 'pernah', 'bonus', 'jadi', 'bonus', 'benar', 'enggak']"
47,tipe kulitku normal,tipe kulitku normal,"['tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'normal']"
48,udah cocok bagus di muka ngurangin garis halus  kerut,sudah cocok bagus di muka ngurangin garis halus  kerut,"['sudah', 'cocok', 'bagus', 'di', 'muka', 'ngurangin', 'garis', 'halus', 'kerut']","['cocok', 'bagus', 'muka', 'ngurangin', 'garis', 'halus', 'kerut']"
49,mantap dpt harga diskon mkasih ya min,mantap dapat harga diskon terima kasih ya min,"['mantap', 'dapat', 'harga', 'diskon', 'terima', 'kasih', 'ya', 'min']","['mantap', 'harga', 'diskon', 'terima', 'kasih', 'min']"
50,tipe kulitku normal tipe kulitku sensitif,tipe kulitku normal tipe kulitku sensitif,"['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif']","['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif']"
51,semoga cocok,semoga cocok,"['semoga', 'cocok']","['semoga', 'cocok']"
52,pengiriman cepet bagusss next order lagiiiii,pengiriman cepat bagus next order lagi,"['pengiriman', 'cepat', 'bagus', 'next', 'order', 'lagi']","['pengiriman', 'cepat', 'bagus', 'next', 'order']"
53,masalah kulitku jerawat tipe kulitku sensitif cocok banget,masalah kulitku jerawat tipe kulitku sensitif cocok banget,"['masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'cocok', 'banget']","['masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'cocok', 'banget']"
54,pesanan yg datang sesuai dan tidak bocor,pesanan yang datang sesuai dan tidak bocor,"['pesanan', 'yang', 'datang', 'sesuai', 'dan', 'tidak', 'bocor']","['pesanan', 'datang', 'sesuai', 'bocor']"
55,recomended thx,recomended thanks,"['recomended', 'thanks']","['recomended', 'thanks']"
56,bagus bgt weh sat set tiap pagi buat aku yang super keringetan ini masih awet sampe malem ada transfer cuma ga heboh,bagus banget weh sat set tiap pagi buat aku yang super keringetan ini masih awet sampai malam ada transfer cuma enggak heboh,"['bagus', 'banget', 'weh', 'sat', 'set', 'tiap', 'pagi', 'buat', 'aku', 'yang', 'super', 'keringetan', 'ini', 'masih', 'awet', 'sampai', 'malam', 'ada', 'transfer', 'cuma', 'enggak', 'heboh']","['bagus', 'banget', 'weh', 'sat', 'set', 'tiap', 'pagi', 'buat', 'aku', 'super', 'keringetan', 'awet', 'malam', 'transfer', 'cuma', 'enggak', 'heboh']"
57,barang bagus pastinya original,barang bagus pastinya original,"['barang', 'bagus', 'pastinya', 'original']","['barang', 'bagus', 'pastinya', 'original']"
58,masalah kulitku kerutan tipe kulitku sensitif tipe kulitku kombinasi,masalah kulitku kerutan tipe kulitku sensitif tipe kulitku kombinasi,"['masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kombinasi']","['masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kombinasi']"
59,goooooooddd,good,['good'],['good']
60,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak,tipe kulitku kombinasi tipe kulitku normal tipe kulitku kering tipe kulitku berminyak,"['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'berminyak']"
61,cakepppp,cakep,['cakep'],['cakep']
62,sudah sampai semoga ada hasil,sudah sampai semoga ada hasil,"['sudah', 'sampai', 'semoga', 'ada', 'hasil']","['semoga', 'hasil']"
63,tahan lama teksturnya cair mudah meresap,tahan lama teksturnya cair mudah meresap,"['tahan', 'lama', 'teksturnya', 'cair', 'mudah', 'meresap']","['tahan', 'lama', 'teksturnya', 'cair', 'mudah', 'meresap']"
64,cocok ini favorite selalu gunakan inii,cocok ini favorite selalu gunakan ini,"['cocok', 'ini', 'favorite', 'selalu', 'gunakan', 'ini']","['cocok', 'favorite', 'selalu', 'gunakan']"
65,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi,tipe kulitku berminyak tipe kulitku kering tipe kulitku sensitif masalah kulitku kerutan masalah kulitku jerawat tipe kulitku normal tipe kulitku kombinasi,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi']"
66,bagussss pengiriman cepaaattt makasiii sellerr,bagus pengiriman cepat terima kasih seller,"['bagus', 'pengiriman', 'cepat', 'terima', 'kasih', 'seller']","['bagus', 'pengiriman', 'cepat', 'terima', 'kasih', 'seller']"
67,mantapp belom dicoba sih untuk ketahanannya tapi enak buat diaplikasikannya,mantap belum dicoba sih untuk ketahanannya tapi enak buat diaplikasikannya,"['mantap', 'belum', 'dicoba', 'sih', 'untuk', 'ketahanannya', 'tapi', 'enak', 'buat', 'diaplikasikannya']","['mantap', 'dicoba', 'sih', 'ketahanannya', 'enak', 'buat', 'diaplikasikannya']"
68,cepat sampai dan respon baik barang belum dicoba nanti diupdate lagi,cepat sampai dan respon baik barang belum dicoba nanti diupdate lagi,"['cepat', 'sampai', 'dan', 'respon', 'baik', 'barang', 'belum', 'dicoba', 'nanti', 'diupdate', 'lagi']","['cepat', 'respon', 'baik', 'barang', 'dicoba', 'diupdate']"
69,produk sesuai deskripsi packaging rapi aman pengiriman cepat dpt diskon tokped jd cuma rb,produk sesuai deskripsi packaging rapi aman pengiriman cepat dapat diskon tokped jadi cuma ribu,"['produk', 'sesuai', 'deskripsi', 'packaging', 'rapi', 'aman', 'pengiriman', 'cepat', 'dapat', 'diskon', 'tokped', 'jadi', 'cuma', 'ribu']","['produk', 'sesuai', 'deskripsi', 'packaging', 'rapi', 'aman', 'pengiriman', 'cepat', 'diskon', 'tokped', 'jadi', 'cuma', 'ribu']"
70,texture dan baunya kurang biasa sih tapi masih bisa ditoleransi kok untuk ukuran yang ml kirain sudah airless pump juga ternyata belum overall masih aman aman aja di kulit normal berminyak karena masih kurang dari seminggu pemakaian,texture dan baunya kurang biasa sih tapi masih bisa ditoleransi kok untuk ukuran yang ml mengira sudah airless pump juga ternyata belum overall masih aman aman saja di kulit normal berminyak karena masih kurang dari seminggu pemakaian,"['texture', 'dan', 'baunya', 'kurang', 'biasa', 'sih', 'tapi', 'masih', 'bisa', 'ditoleransi', 'kok', 'untuk', 'ukuran', 'yang', 'ml', 'mengira', 'sudah', 'airless', 'pump', 'juga', 'ternyata', 'belum', 'overall', 'masih', 'aman', 'aman', 'saja', 'di', 'kulit', 'normal', 'berminyak', 'karena', 'masih', 'kurang', 'dari', 'seminggu', 'pemakaian']","['texture', 'baunya', 'kurang', 'biasa', 'sih', 'ditoleransi', 'kok', 'ukuran', 'ml', 'mengira', 'airless', 'pump', 'ternyata', 'overall', 'aman', 'aman', 'kulit', 'normal', 'berminyak', 'kurang', 'seminggu', 'pemakaian']"
71,ringan bangettttt tapi tetep ada coveragenya walau tipis semoga sering diskon besar ya  aku pake hooman  copy paste cushion yg perle pake ini juga perle di kulitku yg fair cocok bangetttt kayak ga ada dempulnya,ringan banget tapi tetap ada coveragenya walau tipis semoga sering diskon besar ya  aku pakai hooman  copy paste cushion yang perle pakai ini juga perle di kulitku yang fair cocok banget kayak enggak ada dempulnya,"['ringan', 'banget', 'tapi', 'tetap', 'ada', 'coveragenya', 'walau', 'tipis', 'semoga', 'sering', 'diskon', 'besar', 'ya', 'aku', 'pakai', 'hooman', 'copy', 'paste', 'cushion', 'yang', 'perle', 'pakai', 'ini', 'juga', 'perle', 'di', 'kulitku', 'yang', 'fair', 'cocok', 'banget', 'kayak', 'enggak', 'ada', 'dempulnya']","['ringan', 'banget', 'tetap', 'coveragenya', 'tipis', 'semoga', 'sering', 'diskon', 'besar', 'aku', 'pakai', 'hooman', 'copy', 'paste', 'cushion', 'perle', 'pakai', 'perle', 'kulitku', 'fair', 'cocok', 'banget', 'kayak', 'enggak', 'dempulnya']"
72,ga tau kok malah jerawat muncul btw serum juga merk baru semoga aman,enggak tau kok malah jerawat muncul btw serum juga merk baru semoga aman,"['enggak', 'tau', 'kok', 'malah', 'jerawat', 'muncul', 'btw', 'serum', 'juga', 'merk', 'baru', 'semoga', 'aman']","['enggak', 'tau', 'kok', 'malah', 'jerawat', 'muncul', 'btw', 'serum', 'merk', 'baru', 'semoga', 'aman']"
73,masalah kulitku jerawat,masalah kulitku jerawat,"['masalah', 'kulitku', 'jerawat']","['masalah', 'kulitku', 'jerawat']"
